district,customer_since,age,is_married,address,salary,ed,employment_status,is_retired,gender,reside,service
2,13,44,Yes,9,64.000,4,5,No,F,2,Fundamental Service
3,11,33,Yes,7,136.000,5,5,No,F,6,Complete Service
3,68,52,Yes,24,116.000,1,29,No,M,2,Advanced Service
2,33,33,No,12,33.000,2,0,No,M,1,Fundamental Service
2,23,30,Yes,9,30.000,1,2,No,F,4,Advanced Service
2,41,39,No,17,78.000,2,16,No,M,1,Advanced Service
3,45,22,Yes,2,19.000,2,4,No,M,5,E-Service
2,38,35,No,5,76.000,2,10,No,F,3,Complete Service
3,45,59,Yes,7,166.000,4,31,No,F,5,Advanced Service
1,68,41,Yes,21,72.000,1,22,No,F,3,E-Service
2,5,33,No,10,125.000,4,5,No,M,1,Fundamental Service
3,7,35,No,14,80.000,2,15,No,M,1,Advanced Service
1,41,38,Yes,8,37.000,2,9,No,M,3,Fundamental Service
2,57,54,Yes,30,115.000,4,23,No,M,3,Complete Service
2,9,46,No,3,25.000,1,8,No,M,2,Fundamental Service
1,29,38,Yes,12,75.000,5,1,No,F,4,E-Service
3,60,57,No,38,162.000,2,30,No,F,1,Advanced Service
3,34,48,No,3,49.000,2,6,No,M,3,Advanced Service
2,1,24,No,3,20.000,1,3,No,F,1,Fundamental Service
1,26,29,Yes,3,77.000,4,2,No,F,4,Complete Service
3,6,30,No,7,16.000,3,1,No,M,1,E-Service
1,68,52,Yes,17,120.000,1,24,No,F,2,Fundamental Service
3,53,33,No,10,101.000,5,4,No,M,2,Complete Service
3,55,48,Yes,19,67.000,1,25,No,F,3,Fundamental Service
3,14,43,Yes,18,36.000,1,5,No,F,5,Advanced Service
2,1,21,No,0,33.000,2,0,No,M,3,Advanced Service
2,42,40,No,7,37.000,2,8,No,M,1,Complete Service
3,25,33,Yes,11,31.000,1,5,No,F,4,Advanced Service
1,9,21,Yes,1,17.000,2,2,No,M,3,Fundamental Service
2,13,33,Yes,9,19.000,4,0,No,M,2,E-Service
1,56,37,Yes,6,36.000,1,13,No,M,2,E-Service
1,71,53,Yes,27,155.000,5,12,No,F,2,Complete Service
1,35,50,Yes,26,140.000,2,21,No,M,4,Advanced Service
1,11,27,Yes,8,55.000,5,0,No,F,3,E-Service
2,60,46,Yes,13,163.000,3,24,No,F,2,Complete Service
3,20,35,Yes,11,52.000,4,0,No,F,2,E-Service
2,54,60,No,38,211.000,4,25,No,F,1,Complete Service
1,44,57,Yes,1,186.000,2,17,No,F,2,Advanced Service
1,11,41,Yes,0,39.000,1,1,No,M,2,Advanced Service
2,72,57,No,34,22.000,2,35,Yes,M,1,Advanced Service
3,10,41,No,7,30.000,1,7,No,F,1,Advanced Service
2,15,28,No,0,29.000,2,4,No,M,1,Advanced Service
2,27,28,Yes,4,23.000,2,8,No,F,5,Fundamental Service
1,9,36,Yes,14,62.000,4,10,No,F,6,Complete Service
1,64,43,Yes,20,76.000,4,20,No,M,4,Advanced Service
1,65,41,Yes,3,74.000,4,16,No,F,2,E-Service
1,49,51,Yes,27,63.000,4,19,No,F,5,E-Service
3,47,41,Yes,0,36.000,4,8,No,F,2,Complete Service
3,9,34,Yes,9,33.000,2,8,No,M,4,Fundamental Service
1,5,36,No,14,29.000,2,9,No,M,1,Advanced Service
2,30,34,Yes,4,27.000,2,1,No,F,5,Fundamental Service
1,56,52,Yes,28,49.000,2,12,No,F,4,E-Service
3,10,22,No,0,24.000,4,0,No,F,1,Complete Service
1,7,26,Yes,3,26.000,2,2,No,F,5,Fundamental Service
1,52,27,No,6,47.000,3,5,No,F,2,Fundamental Service
2,36,45,Yes,1,94.000,2,18,No,M,5,Fundamental Service
3,27,34,No,8,21.000,3,4,No,M,1,E-Service
1,58,62,Yes,36,27.000,1,0,No,F,2,Fundamental Service
2,41,52,No,27,30.000,2,2,No,M,1,Advanced Service
